image_name,label
3571.jpg,5
5449.jpg,4
23859.jpg,5
5958.jpg,0
4507.jpg,2
15260.jpg,2
18984.jpg,5
19496.jpg,4
7711.jpg,4
6285.jpg,0
21175.jpg,5
12389.jpg,4
1731.jpg,5
17607.jpg,4
22139.jpg,5
8223.jpg,3
22875.jpg,4
14443.jpg,3
17673.jpg,0
11938.jpg,1
10314.jpg,1
18724.jpg,1
12428.jpg,4
3333.jpg,4
7998.jpg,0
5305.jpg,5
3873.jpg,1
11177.jpg,4
14619.jpg,5
18523.jpg,5
21119.jpg,3
10402.jpg,0
22130.jpg,2
18773.jpg,2
21304.jpg,2
12384.jpg,0
23139.jpg,5
16845.jpg,2
3756.jpg,3
10058.jpg,3
928.jpg,1
23219.jpg,2
17783.jpg,2
10705.jpg,1
17126.jpg,1
12092.jpg,4
22259.jpg,2
22100.jpg,3
1980.jpg,4
602.jpg,2
13281.jpg,3
16398.jpg,4
4038.jpg,4
16867.jpg,1
4846.jpg,1
4548.jpg,2
18812.jpg,4
21547.jpg,5
3543.jpg,5
20476.jpg,4
21814.jpg,1
8220.jpg,2
14798.jpg,5
1339.jpg,5
10451.jpg,4
12767.jpg,4
9944.jpg,1
24108.jpg,1
16245.jpg,3
23791.jpg,1
22634.jpg,3
24229.jpg,0
9329.jpg,0
67.jpg,2
15239.jpg,2
11367.jpg,3
5149.jpg,4
23185.jpg,1
5778.jpg,5
1491.jpg,2
23222.jpg,4
4727.jpg,3
4922.jpg,5
15716.jpg,1
19600.jpg,3
5173.jpg,4
14323.jpg,3
12803.jpg,2
23273.jpg,5
14174.jpg,1
16252.jpg,3
17910.jpg,3
20834.jpg,4
1667.jpg,2
21772.jpg,0
22994.jpg,2
16594.jpg,0
16238.jpg,1
24100.jpg,1
6923.jpg,2
11281.jpg,4
5205.jpg,1
2143.jpg,5
22886.jpg,2
3514.jpg,4
20555.jpg,0
14456.jpg,0
8592.jpg,0
19000.jpg,1
9956.jpg,2
17069.jpg,3
11622.jpg,0
18230.jpg,1
19477.jpg,5
9439.jpg,2
8960.jpg,3
20584.jpg,3
19793.jpg,3
11111.jpg,3
4187.jpg,2
19182.jpg,5
14458.jpg,4
14871.jpg,5
8254.jpg,5
5492.jpg,2
21808.jpg,3
9857.jpg,4
13942.jpg,1
4752.jpg,2
6238.jpg,0
6243.jpg,3
22667.jpg,2
11922.jpg,4
4062.jpg,3
22944.jpg,1
6975.jpg,2
4623.jpg,0
89.jpg,4
8256.jpg,5
7873.jpg,1
357.jpg,4
18345.jpg,3
17168.jpg,2
10958.jpg,5
